iter	Passed	Remaining
378	11725	19212
379	11761	19190
380	11795	19164
381	11832	19142
382	11857	19102
383	11891	19076
384	11927	19052
385	11952	19011
386	11989	18990
387	12022	18962
388	12051	18929
389	12081	18897
390	12117	18873
391	12140	18829
392	12172	18800
393	12205	18773
394	12236	18741
395	12269	18713
396	12301	18684
397	12320	18635
398	12347	18599
399	12384	18576
400	12407	18533
401	12437	18500
402	12467	18468
403	12504	18446
404	12528	18406
405	12555	18368
406	12575	18322
407	12608	18295
408	12646	18273
409	12677	18242
410	12713	18219
411	12751	18198
412	12785	18172
413	12817	18142
414	12823	18076
415	12852	18043
416	12891	18022
417	12902	17964
418	12915	17909
419	12949	17882
420	12984	17857
421	13021	17835
422	13054	17806
423	13093	17786
424	13129	17762
425	13152	17722
426	13192	17702
427	13225	17674
428	13264	17655
429	13303	17635
430	13336	17607
431	13342	17542
432	13374	17513
433	13415	17496
434	13450	17470
435	13489	17449
436	13523	17422
437	13562	17401
438	13593	17371
439	13621	17336
440	13642	17292
441	13678	17268
442	13719	17249
443	13750	17218
444	13779	17186
445	13812	17157
446	13848	17133
447	13858	17075
448	13889	17044
449	13917	17010
450	13951	16983
451	13982	16951
452	14002	16908
453	14034	16878
454	14047	16826
455	14078	16794
456	14097	16749
457	14133	16725
458	14160	16690
459	14197	16667
460	14236	16645
461	14267	16615
462	14299	16585
463	14337	16562
464	14366	16529
465	14380	16478
466	14411	16448
467	14441	16416
468	14462	16374
469	14492	16342
470	14524	16313
471	14553	16280
472	14573	16236
473	14594	16195
474	14626	16166
475	14652	16129
476	14686	16103
477	14720	16075
478	14755	16049
479	14789	16021
480	14822	15993
481	14848	15957
482	14883	15931
483	14909	15895
484	14945	15869
485	14976	15838
486	15008	15809
487	15050	15790
488	15089	15768
489	15122	15739
490	15132	15687
491	15162	15656
492	15194	15625
493	15227	15597
494	15262	15570
495	15298	15545
496	15336	15521
497	15361	15485
498	15388	15449
499	15420	15420
500	15455	15393
501	15484	15361
502	15506	15321
503	15516	15270
504	15555	15247
505	15584	15215
506	15610	15179
507	15638	15146
508	15668	15114
509	15703	15087
510	15727	15050
511	15756	15017
512	15790	14990
513	15823	14961
514	15851	14928
515	15865	14881
516	15870	14826
517	15875	14772
518	15904	14739
519	15936	14710
520	15969	14681
521	15996	14648
522	16031	14621
523	16050	14580
524	16070	14539
525	16102	14510
526	16136	14482
527	16169	14454
528	16189	14414
529	16222	14385
530	16253	14355
531	16277	14319
532	16282	14266
533	16307	14230
534	16334	14196
535	16370	14171
536	16414	14152
537	16419	14100
538	16456	14075
539	16462	14023
540	16495	13995
541	16531	13969
542	16553	13931
543	16587	13904
544	16615	13871
545	16663	13855
546	16694	13825
547	16736	13804
548	16767	13774
549	16813	13756
550	16844	13726
551	16882	13701
552	16922	13678
553	16956	13651
554	16975	13611
555	16986	13564
556	16992	13514
557	17039	13497
558	17070	13466
559	17089	13427
560	17123	13399
561	17164	13377
562	17187	13340
563	17221	13313
564	17255	13285
565	17288	13256
566	17318	13225
567	17323	13175
568	17359	13149
569	17394	13122
570	17420	13087
571	17450	13057
572	17473	13021
573	17500	12988
574	17531	12957
575	17560	12926
576	17585	12891
577	17624	12867
578	17668	12846
579	17679	12802
580	17712	12773
581	17745	12745
582	17776	12715
583	17809	12686
584	17849	12662
585	17882	12633
586	17917	12606
587	17946	12574
588	17982	12548
589	18017	12520
590	18047	12489
591	18077	12458
592	18114	12432
593	18154	12408
594	18180	12375
595	18186	12327
596	18212	12294
597	18227	12253
598	18263	12226
599	18291	12194
600	18330	12169
601	18375	12148
602	18381	12101
603	18413	12072
604	18435	12036
605	18471	12009
606	18510	11984
607	18542	11954
608	18573	11924
609	18616	11902
610	18633	11863
611	18662	11831
612	18697	11803
613	18734	11777
614	18773	11752
615	18808	11724
616	18842	11696
617	18881	11670
618	18915	11642
619	18941	11609
620	18981	11584
621	19010	11552
622	19030	11516
623	19065	11488
624	19107	11464
625	19135	11432
626	19171	11404
627	19201	11374
628	19235	11345
629	19273	11319
630	19310	11292
631	19351	11267
632	19384	11238
633	19413	11207
634	19439	11173
635	19468	11142
636	19490	11106
637	19529	11080
638	19570	11056
639	19608	11030
640	19640	10999
641	19671	10969
642	19689	10931
643	19715	10898
644	19745	10867
645	19774	10836
646	19800	10802
647	19825	10769
648	19856	10739
649	19892	10711
650	19925	10681
651	19959	10653
652	19964	10609
653	19996	10579
654	20027	10548
655	20060	10519
656	20086	10486
657	20124	10459
658	20153	10428
659	20185	10398
660	20198	10359
661	20230	10329
662	20264	10300
663	20275	10259
664	20301	10227
665	20330	10195
666	20357	10163
667	20385	10131
668	20416	10101
669	20444	10069
670	20458	10030
671	20496	10004
672	20529	9974
673	20569	9949
674	20604	9920
675	20645	9895
676	20685	9869
677	20717	9839
678	20752	9810
679	20777	9777
680	20821	9753
681	20841	9717
682	20864	9683
683	20882	9647
684	20917	9618
685	20949	9589
686	20968	9553
687	21002	9524
688	21030	9492
689	21063	9463
690	21100	9435
691	21140	9409
692	21170	9378
693	21196	9345
694	21225	9314
695	21256	9284
696	21289	9254
697	21319	9224
698	21343	9190
699	21376	9161
700	21410	9132
701	21439	9101
702	21475	9072
703	21517	9047
704	21553	9018
705	21585	8988
706	21624	8961
707	21656	8931
708	21702	8907
709	21740	8879
710	21769	8848
711	21813	8823
712	21851	8795
713	21889	8767
714	21926	8740
715	21965	8712
716	21991	8680
717	22019	8648
718	22048	8616
719	22077	8585
720	22107	8554
721	22147	8527
722	22167	8492
723	22204	8464
724	22229	8432
725	22263	8402
726	22290	8370
727	22324	8340
728	22360	8312
729	22389	8281
730	22427	8252
731	22457	8222
732	22477	8187
733	22494	8151
734	22528	8122
735	22556	8090
736	22566	8052
737	22601	8023
738	22638	7995
739	22666	7963
740	22693	7931
741	22720	7900
742	22755	7870
743	22786	7840
744	22814	7809
745	22849	7779
746	22883	7750
747	22896	7713
748	22920	7680
749	22956	7652
750	22985	7621
751	23010	7588
752	23015	7549
753	23052	7521
754	23081	7490
755	23109	7458
756	23139	7427
757	23152	7391
758	23187	7362
759	23222	7333
760	23249	7301
761	23255	7263
762	23289	7234
763	23327	7205
764	23363	7176
765	23392	7146
766	23424	7116
767	23455	7085
768	23477	7052
769	23509	7022
770	23541	6992
771	23547	6954
772	23582	6925
773	23616	6895
774	23651	6866
775	23684	6836
776	23689	6798
777	23722	6769
778	23735	6733
779	23740	6696
780	23774	6666
781	23814	6638
782	23847	6608
783	23866	6575
784	23901	6546
785	23938	6517
786	23973	6488
787	24010	6459
788	24046	6430
789	24080	6401
790	24111	6370
791	24141	6340
792	24174	6310
793	24205	6280
794	24237	6249
795	24275	6221
796	24308	6191
797	24336	6160
798	24378	6132
799	24407	6101
800	24442	6072
801	24459	6038
802	24496	6009
803	24523	5978
804	24560	5949
805	24601	5921
806	24629	5890
807	24665	5861
808	24676	5826
809	24703	5794
810	24732	5763
811	24763	5733
812	24801	5704
813	24838	5675
814	24873	5646
815	24900	5614
816	24938	5586
817	24944	5549
818	24972	5518
819	25013	5490
820	25056	5462
821	25089	5432
822	25101	5398
823	25132	5368
824	25167	5338
825	25205	5309
826	25242	5280
827	25281	5251
828	25313	5221
829	25342	5190
830	25374	5160
831	25401	5129
832	25428	5097
833	25438	5063
834	25471	5033
835	25499	5002
836	25541	4973
837	25571	4943
838	25603	4913
839	25632	4882
840	25671	4853
841	25706	4823
842	25741	4794
843	25779	4765
844	25812	4734
845	25817	4699
846	25853	4670
847	25866	4636
848	25893	4605
849	25909	4572
850	25938	4541
851	25973	4511
852	26007	4481
853	26043	4452
854	26066	4420
855	26107	4391
856	26140	4361
857	26174	4331
858	26201	4300
859	26237	4271
860	26242	4236
861	26278	4206
862	26298	4174
863	26328	4144
864	26361	4114
865	26395	4084
866	26435	4055
867	26461	4024
868	26471	3990
869	26504	3960
870	26530	3929
871	26539	3895
872	26578	3866
873	26610	3836
874	26649	3807
875	26680	3776
876	26695	3744
877	26734	3714
878	26746	3681
879	26777	3651
880	26809	3621
881	26838	3590
882	26866	3559
883	26900	3529
884	26927	3499
885	26970	3470
886	27012	3441
887	27039	3410
888	27065	3379
889	27110	3350
890	27123	3318
891	27155	3287
892	27189	3257
893	27229	3228
894	27249	3196
895	27283	3166
896	27315	3136
897	27346	3106
898	27378	3075
899	27412	3045
900	27445	3015
901	27486	2986
902	27511	2955
903	27552	2925
904	27588	2896
905	27617	2865
906	27637	2833
907	27670	2803
908	27703	2773
909	27733	2742
910	27772	2713
911	27804	2682
912	27839	2652
913	27876	2622
914	27908	2592
915	27949	2563
916	27983	2532
917	28016	2502
918	28045	2471
919	28079	2441
920	28101	2410
921	28132	2379
922	28163	2349
923	28187	2318
924	28216	2287
925	28254	2257
926	28284	2227
927	28310	2196
928	28338	2165
929	28371	2135
930	28403	2105
931	28435	2074
932	28463	2044
933	28495	2013
934	28527	1983
935	28539	1951
936	28571	1920
937	28614	1891
938	28643	1860
939	28672	1830
940	28691	1798
941	28729	1768
942	28764	1738
943	28791	1707
944	28832	1678
945	28870	1648
946	28890	1616
947	28921	1586
948	28946	1555
949	28976	1525
950	29015	1495
951	29051	1464
952	29065	1433
953	29094	1402
954	29129	1372
955	29162	1342
956	29190	1311
957	29221	1281
958	29251	1250
959	29275	1219
960	29286	1188
961	29292	1157
962	29326	1126
963	29371	1096
964	29411	1066
965	29446	1036
966	29485	1006
967	29516	975
968	29522	944
969	29551	913
970	29577	883
971	29610	852
972	29646	822
973	29678	792
974	29693	761
975	29730	731
976	29761	700
977	29801	670
978	29841	640
979	29873	609
980	29904	579
981	29941	548
982	29971	518
983	29988	487
984	30020	457
985	30047	426
986	30052	395
987	30074	365
988	30108	334
989	30142	304
990	30179	274
991	30207	243
992	30234	213
993	30263	182
994	30293	152
995	30328	121
996	30364	91
997	30401	60
998	30442	30
999	30476	0
