iter	RMSE
240	74418.29703
241	74404.43207
242	74396.87746
243	74389.56479
244	74387.46288
245	74383.00824
246	74369.91002
247	74356.49619
248	74346.18479
249	74341.01442
250	74341.01442
251	74333.07634
252	74321.07206
253	74315.43108
254	74311.64567
255	74304.53264
256	74299.69596
257	74292.34774
258	74279.12217
259	74276.81766
260	74271.96951
261	74264.22481
262	74252.66546
263	74247.7039
264	74236.73366
265	74235.11676
266	74230.81273
267	74226.01039
268	74221.71099
269	74218.18374
270	74214.99642
271	74210.32305
272	74204.20684
273	74199.66152
274	74191.74807
275	74181.71385
276	74175.08446
277	74174.75063
278	74162.76436
279	74158.6506
280	74150.42628
281	74147.41728
282	74141.27277
283	74130.10957
284	74126.40183
285	74119.76373
286	74116.90712
287	74110.55613
288	74104.21273
289	74095.99607
290	74092.97918
291	74079.00557
292	74071.22449
293	74062.53275
294	74056.76482
295	74051.09538
296	74045.69024
297	74039.25625
298	74034.76747
299	74027.06483
300	74021.39951
301	74018.12883
302	74013.82352
303	74010.33934
304	74005.57109
305	73997.51558
306	73992.50886
307	73984.58915
308	73979.39273
309	73977.20294
310	73970.74191
311	73966.96883
312	73963.57797
313	73963.57797
314	73957.46411
315	73952.14509
316	73948.38655
317	73948.38655
318	73942.14365
319	73936.36839
320	73933.57403
321	73929.36296
322	73924.38522
323	73920.90245
324	73920.06802
325	73909.94408
326	73899.3586
327	73889.86045
328	73887.09183
329	73885.20414
330	73881.54606
331	73877.75501
332	73871.38963
333	73866.55982
334	73864.88878
335	73860.08087
336	73855.94226
337	73850.22285
338	73846.43732
339	73843.37391
340	73838.67384
341	73836.72082
342	73830.63605
343	73826.35568
344	73819.29979
345	73807.90114
346	73805.05725
347	73798.09033
348	73791.88672
349	73787.55847
350	73782.54188
351	73774.1724
352	73769.34005
353	73765.6682
354	73760.34684
355	73751.40007
356	73748.50725
357	73745.77334
358	73740.76788
359	73729.98759
360	73725.26592
361	73722.92631
362	73719.8152
363	73717.2664
364	73711.99919
365	73707.43132
366	73703.09664
367	73701.41072
368	73698.40021
369	73695.80387
370	73693.64443
371	73693.42949
372	73686.9539
373	73682.59593
374	73674.23055
375	73668.15759
376	73663.42854
377	73658.69982
378	73656.45189
379	73652.36658
380	73648.92888
381	73645.15356
382	73642.08625
383	73636.92227
384	73632.06904
385	73629.24126
386	73621.35348
387	73616.2156
388	73606.68567
389	73605.25784
390	73601.44927
391	73599.0038
392	73596.51676
393	73594.42318
394	73585.65834
395	73582.62135
396	73578.77242
397	73576.38449
398	73573.3901
399	73571.35747
400	73562.97462
401	73560.1841
402	73557.94862
403	73554.13725
404	73550.82967
405	73544.91394
406	73544.42919
407	73543.1154
408	73539.74742
409	73537.76685
410	73532.86425
411	73527.99071
412	73519.5213
413	73515.47065
414	73515.47065
415	73513.09171
416	73509.64969
417	73509.62158
418	73506.12331
419	73503.30056
420	73500.55076
421	73496.93287
422	73493.79202
423	73489.64981
424	73486.86336
425	73484.80832
426	73479.99644
427	73474.90436
428	73472.50797
429	73464.7824
430	73461.7849
431	73461.7849
432	73458.56951
433	73455.77044
434	73448.82226
435	73444.75208
436	73442.2222
437	73438.60898
438	73435.77843
439	73433.35781
440	73427.59338
441	73423.01512
442	73418.81667
443	73413.81873
444	73412.06153
445	73407.19099
446	73405.74613
447	73405.67954
448	73403.1988
449	73401.19366
450	73395.96684
451	73393.74686
452	73391.70659
453	73390.43224
454	73389.70686
455	73384.13135
456	73383.77293
457	73382.82863
458	73380.48968
459	73374.01803
460	73370.69282
461	73368.65046
462	73367.47376
463	73364.88993
464	73363.22512
465	73362.31389
466	73359.28288
467	73356.42745
468	73355.42846
469	73352.38029
470	73351.04942
471	73347.39479
472	73345.47406
473	73344.45305
474	73339.39336
475	73337.79728
476	73334.57997
477	73333.93579
478	73333.04183
479	73327.8359
480	73323.92223
481	73321.8133
482	73317.185
483	73315.30648
484	73312.50835
485	73309.83771
486	73306.83633
487	73303.59771
488	73296.17949
489	73295.17196
490	73294.06859
491	73289.33101
492	73284.66397
493	73282.26459
494	73278.44844
495	73270.6891
496	73266.62568
497	73263.13435
498	73262.03154
499	73258.24108
500	73257.00615
501	73253.15865
502	73249.86799
503	73248.92227
504	73247.14496
505	73245.27382
506	73242.3489
507	73241.36975
508	73238.6014
509	73233.52372
510	73232.01081
511	73230.37656
512	73227.93211
513	73220.6602
514	73219.95106
515	73218.62445
516	73218.62445
517	73218.62445
518	73216.94099
519	73215.76001
520	73214.62679
521	73213.42789
522	73208.93633
523	73204.27384
524	73202.68318
525	73201.81178
526	73198.64003
527	73196.50125
528	73195.50291
529	73190.99431
530	73189.87035
531	73189.43728
532	73189.43728
533	73183.97386
534	73181.9749
535	73178.47406
536	73175.46176
537	73175.46176
538	73173.23026
539	73173.23026
540	73169.98128
541	73169.03084
542	73167.60038
543	73165.91444
544	73162.36559
545	73156.0478
546	73152.46499
547	73151.51773
548	73150.45874
549	73145.73336
550	73140.28731
551	73138.05783
552	73136.14632
553	73134.32559
554	73133.83128
555	73133.80367
556	73133.80367
557	73130.3541
558	73128.20743
559	73127.07696
560	73125.98465
561	73124.82341
562	73124.30387
563	73120.20116
564	73119.40881
565	73118.23952
566	73116.70567
567	73116.70567
568	73115.28833
569	73112.06508
570	73109.32892
571	73107.14966
572	73104.27892
573	73102.09836
574	73100.18794
575	73098.00947
576	73097.49213
577	73091.68149
578	73086.60934
579	73086.47196
580	73085.76594
581	73085.07083
582	73083.15916
583	73081.5558
584	73079.11806
585	73078.47777
586	73076.91473
587	73072.64865
588	73070.28144
589	73067.70227
590	73066.94839
591	73062.17899
592	73058.31288
593	73057.55555
594	73054.71802
595	73054.71802
596	73053.13568
597	73050.63446
598	73049.55653
599	73048.78986
600	73044.64624
601	73042.66018
602	73042.66018
603	73039.43725
604	73039.06815
605	73038.41721
606	73037.611
607	73034.74329
608	73033.90241
609	73032.23288
610	73030.1342
611	73027.53152
612	73024.65571
613	73023.6245
614	73022.68805
615	73021.80896
616	73016.04055
617	73012.77152
618	73012.09558
619	73010.52379
620	73009.06182
621	73006.43253
622	73006.07507
623	73005.17944
624	73002.10665
625	73001.34962
626	72999.80431
627	72998.94711
628	72998.41748
629	72997.93918
630	72996.87501
631	72995.43151
632	72993.42776
633	72991.22253
634	72990.19517
635	72989.22506
636	72988.80721
637	72988.3199
638	72987.36605
639	72984.85013
640	72979.60881
641	72978.53878
642	72978.48068
643	72977.47804
644	72976.92019
645	72973.56667
646	72968.98325
647	72968.44791
648	72965.05302
649	72963.66984
650	72962.14082
651	72961.72572
652	72961.72572
653	72960.64564
654	72959.55528
655	72954.85915
656	72954.27105
657	72953.36774
658	72952.58012
659	72951.89936
660	72951.59405
661	72950.33213
662	72949.93335
663	72949.91904
664	72948.34448
665	72945.27924
666	72945.09836
667	72943.23367
668	72941.30099
669	72938.60941
670	72937.99385
671	72937.59266
672	72936.56234
673	72934.36951
674	72934.2099
675	72933.38069
676	72932.37638
677	72929.85109
678	72928.29096
679	72927.87077
680	72925.08353
681	72923.86828
682	72922.84559
683	72922.72999
684	72922.13036
685	72920.66858
686	72919.86716
687	72919.53705
688	72918.89137
689	72914.08158
690	72913.3797
691	72912.78472
692	72911.91815
693	72911.80794
694	72911.50744
695	72911.18154
696	72910.38106
697	72908.31995
698	72907.66518
699	72906.94809
700	72906.28685
701	72901.61629
702	72899.53519
703	72898.41739
704	72898.1528
705	72895.95212
706	72893.90328
707	72892.41652
708	72889.80888
709	72888.15907
710	72883.88923
711	72878.93162
712	72877.53408
713	72875.29204
714	72874.27513
715	72873.9665
716	72872.0035
717	72871.40605
718	72869.31099
719	72868.00111
720	72865.81564
721	72864.85988
722	72862.33298
723	72861.57334
724	72860.13723
725	72857.62451
726	72857.2862
727	72857.22801
728	72855.1005
729	72853.18995
730	72852.50978
731	72847.91334
732	72847.60095
733	72847.55136
734	72845.41561
735	72844.84646
736	72844.76276
737	72844.25623
738	72839.49164
739	72838.68909
740	72838.31705
741	72834.30656
742	72834.02672
743	72833.75438
744	72832.19896
745	72830.45564
746	72827.89837
747	72827.8889
748	72826.26784
749	72824.51217
750	72822.87874
751	72821.89113
752	72821.89113
753	72820.65368
754	72819.65604
755	72819.22291
756	72818.03372
757	72817.51349
758	72815.59357
759	72814.3358
760	72813.53253
761	72813.53253
762	72812.54973
763	72810.62959
764	72810.2448
765	72807.93835
766	72806.34951
767	72805.59529
768	72804.55359
769	72804.03766
770	72803.67642
771	72803.67642
772	72802.0975
773	72800.5338
774	72798.94822
775	72798.31191
776	72798.31191
777	72797.52585
778	72796.16361
779	72796.16361
780	72794.94994
781	72794.16258
782	72793.27561
783	72792.586
784	72791.40369
785	72789.54101
786	72785.05954
787	72784.17822
788	72783.8382
789	72782.29639
790	72778.93243
791	72777.94278
792	72776.58085
793	72775.96863
794	72774.94773
795	72774.5276
796	72774.46355
797	72774.25298
798	72773.48542
799	72773.28944
800	72773.08775
801	72772.89451
802	72772.45146
803	72772.25562
804	72770.84408
805	72766.90142
806	72766.10574
807	72765.07447
808	72765.06419
809	72764.19178
810	72763.00178
811	72762.19531
812	72761.41235
813	72759.91485
814	72757.99146
815	72757.70611
816	72757.07154
817	72757.07154
818	72756.47521
819	72755.93051
820	72754.17669
821	72753.73558
822	72753.42354
823	72752.15178
824	72750.89355
825	72750.53592
826	72749.7256
827	72746.93214
828	72744.48866
829	72743.49809
830	72742.95306
831	72742.40081
832	72738.46892
833	72738.46698
834	72738.29723
835	72735.41575
836	72735.25628
837	72734.61728
838	72734.07851
839	72733.84443
840	72733.74401
841	72732.76833
842	72731.58644
843	72728.58344
844	72727.60506
845	72727.60506
846	72727.26014
847	72724.94238
848	72724.71424
849	72724.60314
850	72724.48423
851	72724.33351
852	72722.44648
853	72720.69084
854	72720.35526
855	72717.12375
856	72713.05758
857	72712.07097
858	72711.02158
859	72709.50089
860	72709.50089
861	72708.8632
862	72708.35824
863	72708.14431
864	72707.38867
865	72707.09094
866	72704.47727
867	72704.3929
868	72704.37715
869	72701.78236
870	72698.38398
871	72697.84595
872	72697.58045
873	72695.74654
874	72695.58422
875	72694.80668
876	72694.47683
877	72694.36936
878	72694.36572
879	72693.44039
880	72692.9196
881	72692.43959
882	72691.36538
883	72691.22041
884	72690.93597
885	72689.15413
886	72685.75641
887	72685.27331
888	72684.87679
889	72682.0918
890	72682.06314
891	72681.55518
892	72680.74273
893	72679.20454
894	72679.16897
895	72679.07973
896	72678.52852
897	72677.25137
898	72676.58483
899	72676.44917
900	72676.16528
901	72672.45652
902	72671.8141
903	72670.89883
904	72666.87746
905	72666.69356
906	72666.33229
907	72664.55936
908	72663.43632
909	72662.99229
910	72662.58199
911	72662.10464
912	72660.67943
913	72660.53999
914	72660.19964
915	72659.15404
916	72655.59109
917	72655.19429
918	72654.63321
919	72651.46358
920	72651.26509
921	72651.13615
922	72648.49178
923	72647.82365
924	72647.45059
925	72643.21485
926	72642.76607
927	72642.0958
928	72641.95222
929	72641.40884
930	72641.2547
931	72640.71369
932	72639.39352
933	72639.24824
934	72638.77918
935	72638.55376
936	72637.12181
937	72633.8514
938	72633.2798
939	72632.42687
940	72632.40343
941	72632.31285
942	72632.17475
943	72632.07203
944	72631.5001
945	72630.7597
946	72630.75886
947	72629.97476
948	72628.77989
949	72627.58865
950	72624.75976
951	72623.57971
952	72621.55953
953	72620.76395
954	72619.34776
955	72617.81193
956	72617.40623
957	72617.18665
958	72616.77328
959	72615.46593
960	72615.4468
961	72615.4468
962	72615.2555
963	72614.70654
964	72612.43367
965	72611.527
966	72611.23201
967	72611.08294
968	72611.08294
969	72610.83
970	72609.30197
971	72608.80878
972	72608.67787
973	72608.00434
974	72607.96345
975	72606.07105
976	72605.89404
977	72605.60116
978	72604.72778
979	72604.60853
980	72604.4523
981	72604.24952
982	72604.06453
983	72603.98817
984	72603.03507
985	72602.24736
986	72602.24736
987	72601.1915
988	72600.60228
989	72600.40189
990	72600.24211
991	72599.54127
992	72598.63899
993	72597.95799
994	72597.2974
995	72596.53214
996	72595.45738
997	72594.75295
998	72593.44187
999	72592.89027
